carga,instante
18000.2578,2026-02-10T08:58:00-03:00
17967.3438,2026-02-10T08:59:00-03:00
17908.59,2026-02-10T09:00:00-03:00
17907.1289,2026-02-10T09:01:00-03:00
17902.0918,2026-02-10T09:02:00-03:00
17945.05,2026-02-10T09:03:00-03:00
17890.498,2026-02-10T09:04:00-03:00
17922.625,2026-02-10T09:05:00-03:00
17964.6563,2026-02-10T09:06:00-03:00
18015.8,2026-02-10T09:07:00-03:00
17970.62,2026-02-10T09:08:00-03:00
17975.9883,2026-02-10T09:09:00-03:00
17970.23,2026-02-10T09:10:00-03:00
17906.8555,2026-02-10T09:11:00-03:00
17924.4453,2026-02-10T09:12:00-03:00
17844.4941,2026-02-10T09:13:00-03:00
17911.7461,2026-02-10T09:14:00-03:00
17925.998,2026-02-10T09:15:00-03:00
17932.4043,2026-02-10T09:16:00-03:00
17930.1914,2026-02-10T09:17:00-03:00
17901.6816,2026-02-10T09:18:00-03:00
17919.0781,2026-02-10T09:19:00-03:00
17893.4551,2026-02-10T09:20:00-03:00
17902.0957,2026-02-10T09:21:00-03:00
17925.28,2026-02-10T09:22:00-03:00
17911.3125,2026-02-10T09:23:00-03:00
17899.1074,2026-02-10T09:24:00-03:00
17914.85,2026-02-10T09:25:00-03:00
17889.3184,2026-02-10T09:26:00-03:00
17918.1172,2026-02-10T09:27:00-03:00
17923.0039,2026-02-10T09:28:00-03:00
17913.02,2026-02-10T09:29:00-03:00
17905.2559,2026-02-10T09:30:00-03:00
17946.7969,2026-02-10T09:31:00-03:00
17974.0762,2026-02-10T09:32:00-03:00
17985.5957,2026-02-10T09:33:00-03:00
17993.36,2026-02-10T09:34:00-03:00
18024.5586,2026-02-10T09:35:00-03:00
18073.668,2026-02-10T09:36:00-03:00
18066.0781,2026-02-10T09:37:00-03:00
18073.17,2026-02-10T09:38:00-03:00
18141.3633,2026-02-10T09:39:00-03:00
18079.7871,2026-02-10T09:40:00-03:00
18099.0254,2026-02-10T09:41:00-03:00
18120.3613,2026-02-10T09:42:00-03:00
18131.9668,2026-02-10T09:43:00-03:00
18157.0371,2026-02-10T09:44:00-03:00
18179.7363,2026-02-10T09:45:00-03:00
18229.55,2026-02-10T09:46:00-03:00
18291.8867,2026-02-10T09:47:00-03:00
18290.3164,2026-02-10T09:48:00-03:00
18191.043,2026-02-10T09:49:00-03:00
18205.1074,2026-02-10T09:50:00-03:00
18213.6328,2026-02-10T09:51:00-03:00
18229.7129,2026-02-10T09:52:00-03:00
18241.0527,2026-02-10T09:53:00-03:00
18242.9785,2026-02-10T09:54:00-03:00
18251.2285,2026-02-10T09:55:00-03:00
18240.623,2026-02-10T09:56:00-03:00
18255.4746,2026-02-10T09:57:00-03:00
18266.8047,2026-02-10T09:58:00-03:00
18278.0059,2026-02-10T09:59:00-03:00
18296.5176,2026-02-10T10:00:00-03:00
18296.6152,2026-02-10T10:01:00-03:00
18296.0039,2026-02-10T10:02:00-03:00
18306.3574,2026-02-10T10:03:00-03:00
18320.3535,2026-02-10T10:04:00-03:00
18335.2754,2026-02-10T10:05:00-03:00
18327.3555,2026-02-10T10:06:00-03:00
18322.8164,2026-02-10T10:07:00-03:00
18313.873,2026-02-10T10:08:00-03:00
18349.1582,2026-02-10T10:09:00-03:00
18367.7051,2026-02-10T10:10:00-03:00
18405.06,2026-02-10T10:11:00-03:00
18402.293,2026-02-10T10:12:00-03:00
