DIA,HORA,MES_REFERENCIA,PERIODO_COMERCIALIZACAO,PLD_HORA,SUBMERCADO,_dataset,_id,_resource_id
9,19,202602,212,485.25,NORDESTE,pld_horario,173,3f279d6b-1069-42f7-9b0a-217b084729c4
9,19,202602,212,485.24,NORTE,pld_horario,174,3f279d6b-1069-42f7-9b0a-217b084729c4
9,19,202602,212,485.25,SUDESTE,pld_horario,175,3f279d6b-1069-42f7-9b0a-217b084729c4
9,19,202602,212,485.25,SUL,pld_horario,176,3f279d6b-1069-42f7-9b0a-217b084729c4
9,20,202602,213,489.36,NORDESTE,pld_horario,177,3f279d6b-1069-42f7-9b0a-217b084729c4
9,20,202602,213,489.35,NORTE,pld_horario,178,3f279d6b-1069-42f7-9b0a-217b084729c4
9,20,202602,213,489.37,SUDESTE,pld_horario,179,3f279d6b-1069-42f7-9b0a-217b084729c4
9,20,202602,213,489.37,SUL,pld_horario,180,3f279d6b-1069-42f7-9b0a-217b084729c4
9,21,202602,214,482.74,NORDESTE,pld_horario,181,3f279d6b-1069-42f7-9b0a-217b084729c4
9,21,202602,214,482.73,NORTE,pld_horario,182,3f279d6b-1069-42f7-9b0a-217b084729c4
9,21,202602,214,482.75,SUDESTE,pld_horario,183,3f279d6b-1069-42f7-9b0a-217b084729c4
9,21,202602,214,482.75,SUL,pld_horario,184,3f279d6b-1069-42f7-9b0a-217b084729c4
9,22,202602,215,477.31,NORDESTE,pld_horario,185,3f279d6b-1069-42f7-9b0a-217b084729c4
9,22,202602,215,477.3,NORTE,pld_horario,186,3f279d6b-1069-42f7-9b0a-217b084729c4
9,22,202602,215,477.31,SUDESTE,pld_horario,187,3f279d6b-1069-42f7-9b0a-217b084729c4
9,22,202602,215,477.32,SUL,pld_horario,188,3f279d6b-1069-42f7-9b0a-217b084729c4
9,23,202602,216,465.24,NORDESTE,pld_horario,189,3f279d6b-1069-42f7-9b0a-217b084729c4
9,23,202602,216,465.23,NORTE,pld_horario,190,3f279d6b-1069-42f7-9b0a-217b084729c4
9,23,202602,216,465.24,SUDESTE,pld_horario,191,3f279d6b-1069-42f7-9b0a-217b084729c4
9,23,202602,216,465.25,SUL,pld_horario,192,3f279d6b-1069-42f7-9b0a-217b084729c4
8,0,202602,169,468.46,NORDESTE,pld_horario,193,3f279d6b-1069-42f7-9b0a-217b084729c4
8,0,202602,169,468.45,NORTE,pld_horario,194,3f279d6b-1069-42f7-9b0a-217b084729c4
8,0,202602,169,468.46,SUDESTE,pld_horario,195,3f279d6b-1069-42f7-9b0a-217b084729c4
8,0,202602,169,468.45,SUL,pld_horario,196,3f279d6b-1069-42f7-9b0a-217b084729c4
8,1,202602,170,459.63,NORDESTE,pld_horario,197,3f279d6b-1069-42f7-9b0a-217b084729c4
8,1,202602,170,459.62,NORTE,pld_horario,198,3f279d6b-1069-42f7-9b0a-217b084729c4
8,1,202602,170,459.62,SUDESTE,pld_horario,199,3f279d6b-1069-42f7-9b0a-217b084729c4
8,1,202602,170,459.61,SUL,pld_horario,200,3f279d6b-1069-42f7-9b0a-217b084729c4
8,2,202602,171,456.57,NORDESTE,pld_horario,201,3f279d6b-1069-42f7-9b0a-217b084729c4
8,2,202602,171,456.56,NORTE,pld_horario,202,3f279d6b-1069-42f7-9b0a-217b084729c4
8,2,202602,171,456.56,SUDESTE,pld_horario,203,3f279d6b-1069-42f7-9b0a-217b084729c4
8,2,202602,171,456.55,SUL,pld_horario,204,3f279d6b-1069-42f7-9b0a-217b084729c4
8,3,202602,172,453.72,NORDESTE,pld_horario,205,3f279d6b-1069-42f7-9b0a-217b084729c4
8,3,202602,172,453.72,NORTE,pld_horario,206,3f279d6b-1069-42f7-9b0a-217b084729c4
8,3,202602,172,453.72,SUDESTE,pld_horario,207,3f279d6b-1069-42f7-9b0a-217b084729c4
8,3,202602,172,453.71,SUL,pld_horario,208,3f279d6b-1069-42f7-9b0a-217b084729c4
