nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
SANTONIO CM;193.0;Reservatório sem usina;DOCE;SUDESTE;SE;SUDESTE;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SAO ROQUE;88.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;489.577;;801.912;;61.0512;489.577;801.912;0.09666023;0.11915021;0.0332427;0.03919559;0.0;0.0;0.00367824;0.00274563
SÃO SIMÃO;33.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;1614.389;;5014.801;;32.1925;1614.389;5014.801;0.05862517;0.06388205;0.01871777;0.02450843;0.0;0.0;0.01212906;0.01716997
SEGREDO;76.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-01;309.021;;447.497;;69.0554;309.021;447.497;0.04451987;0.04446983;0.02098279;0.02187261;0.0;0.0;0.0023217;0.00153217
SERRA DA MESA;251.0;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2026-01-01;18757.921;5973.999;35277.664;6620.419;53.1722;24731.92;41898.083;0.92446552;0.8399674;0.21748571;0.17240968;0.71306512;0.43263937;0.18581327;0.14345308
SINOP;227.0;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;;;2026-01-01;100.085;;900.655;;11.1125;100.085;900.655;0.17487655;0.44405938;0.00116042;0.0044017;0.0;0.0;0.00075195;0.00308371
SOBRADINHO;169.0;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2026-01-01;12937.272;;30100.282;;42.9806;12937.272;30100.282;0.53841948;0.5708681;0.54480331;0.58230931;0.0;0.0;0.09719896;0.10305909
TOCOS;180.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRÊS IRMÃOS;43.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-01;1654.204;;2328.579;;71.0392;1654.204;2328.579;0.25472845;0.23943651;0.0191794;0.01138028;0.0;0.0;0.01242819;0.00797272
TRÊS MARIAS;156.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-01;1134.375;8560.366;2345.606;16040.745;48.3617;9694.741;18386.351;0.40347281;0.34870707;0.01315233;0.01146349;0.36048679;0.31031852;0.07283751;0.06295225
