nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;id_reservatorio
JAGUARI;RESERVATÓRIO COM USINA;120;120;JAGUARI;UHE.PH.SP.027131-4.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;JAGUARI;SUDESTE;1972-01-02;623.0;603.2;1236.0;443.0;792.48;0.008536;0.5163;m;0.42;-23.1925;-46.02138889;PBJAGU
JAURU;FIO DAGUA;195;295;JAURU;UHE.PH.MT.001245-9.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;JAURU;SUDESTE;2003-06-06;355.0;354.53;17.15;16.25;0.9;0.008912;0.9297;m;1.48;-15.24083333;-58.73111111;PYUJAU
JIRAU;FIO DAGUA;285;285;JIRAU;UHE.PH.RO.029736-4.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;MADEIRA;MADEIRA;2013-09-06;90.0;82.39;2746.73;1235.59;1511.14;0.009065;0.155;m;0.16;-9.268333333;-64.64861111;AMUHJI
JUPIA;FIO DAGUA;45;245;JUPIÁ;UHE.PH.SP.001282-3.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;PARANA;1969-02-01;280.0;277.0;3354.0;3354.0;903.75;0.008751;0.18;m;0.63;-20.77694444;-51.63305556;PNJUPI
JURUENA;FIO DAGUA;309;226;JURUENA;UHE.PH.MT.040733-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;JURUENA;TELES PIRES;2025-09-03;452.0;451.9;2.14;2.1;0.04;0.009043;0.2969;m;1.47;-13.4019441;-59.0056391;AMJRN
JURUMIRIM;RESERVATÓRIO COM USINA;47;47;JURUMIRIM;UHE.PH.SP.001285-8.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1962-09-21;568.0;559.7;7008.0;3843.0;3164.93;0.008875;0.2907;m;0.41;-23.21083333;-49.22916667;PPJURU
L. C. BARRETO;FIO DAGUA;8;8;LUIZ CARLOS BARRETO;UHE.PH.SP.000917-2.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1969-01-01;622.5;618.5;1423.0;1423.0;178.2;0.00889;0.5437;m;0.9;-20.15361111;-47.27777778;GRLCBA
LAJEADO;FIO DAGUA;261;273;LAJEADO;UHE.PH.TO.001304-8.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2001-12-01;212.3;211.5;4940.0;4940.0;482.37;0.00904;0.3315;m;0.43;-9.756388889;-48.37416667;TOLAJ
LIMOEIRO;FIO DAGUA;16;16;LIMOEIRO;UHE.PH.SP.001328-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;PARDO;PARANA;1980-01-01;573.0;563.0;25.0;25.0;16.36;0.008599;0.2209;m;0.19;-21.62472222;-47.01055556;PDLIMO
LUIZ GONZAGA;RESERVATÓRIO COM USINA;172;172;LUIZ GONZAGA;UHE.PH.PE.001174-6.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1988-02-28;304.0;299.0;10782.0;7234.0;3549.0;0.008739;0.4425;m;0.5;-9.140833333;-38.31361111;SFLGON
